cuDNN Version,CUDA Version
"Download cuDNN v7.6.0 (May 20, 2019), ", CUDA 10.1
"Download cuDNN v7.6.0 (May 20, 2019), ", CUDA 10.0
"Download cuDNN v7.6.0 (May 20, 2019), ", CUDA 9.2
"Download cuDNN v7.6.0 (May 20, 2019), ", CUDA 9.0
"Download cuDNN v7.5.1 (April 22, 2019), ", CUDA 10.1
"Download cuDNN v7.5.1 (April 22, 2019), ", CUDA 10.0
"Download cuDNN v7.5.1 (April 22, 2019), ", CUDA 9.2
"Download cuDNN v7.5.1 (April 22, 2019), ", CUDA 9.0
"Download cuDNN v7.5.0 (Feb 25, 2019), ", CUDA 10.1
"Download cuDNN v7.5.0 (Feb 21, 2019), ", CUDA 10.0
"Download cuDNN v7.5.0 (Feb 21, 2019), ", CUDA 9.2
"Download cuDNN v7.5.0 (Feb 21, 2019), ", CUDA 9.0
"Download cuDNN v7.4.2 (Dec 14, 2018), ", CUDA 10.0
"Download cuDNN v7.4.2 (Dec 14, 2018), ", CUDA 9.2
"Download cuDNN v7.4.2 (Dec 14, 2018), ", CUDA 9.0
"Download cuDNN v7.4.1 (Nov 8, 2018), ", CUDA 10.0
"Download cuDNN v7.4.1 (Nov 8, 2018), ", CUDA 9.2
"Download cuDNN v7.4.1 (Nov 8, 2018), ", CUDA 9.0
"Download cuDNN v7.3.1 (Sept 28, 2018), ", CUDA 10.0
"Download cuDNN v7.3.1 (Sept 28, 2018), ", CUDA 9.2
"Download cuDNN v7.3.1 (Sept 28, 2018), ", CUDA 9.0
"Download cuDNN v7.3.0 (Sept 19, 2018), ", CUDA 10.0
"Download cuDNN v7.3.0 (Sept 19, 2018), ", CUDA 9.0
"Download cuDNN v7.2.1 (August 7, 2018), ", CUDA 9.2
"Download cuDNN v7.1.4 (May 16, 2018), ", CUDA 9.2
"Download cuDNN v7.1.4 (May 16, 2018), ", CUDA 9.0
"Download cuDNN v7.1.4 (May 16, 2018), ", CUDA 8.0
"Download cuDNN v7.1.3 (April 17, 2018), ", CUDA 9.1
"Download cuDNN v7.1.3 (April 17, 2018), ", CUDA 9.0
"Download cuDNN v7.1.3 (April 17, 2018), ", CUDA 8.0
"Download cuDNN v7.1.2 (Mar 21, 2018), ", CUDA 9.1 & 9.2
"Download cuDNN v7.1.2 (Mar 21, 2018), ", CUDA 9.0
"Download cuDNN v7.0.5 (Dec 11, 2017), ", CUDA 9.1
"Download cuDNN v7.0.5 (Dec 5, 2017), ", CUDA 9.0
"Download cuDNN v7.0.5 (Dec 5, 2017), ", CUDA 8.0
"Download cuDNN v7.0.4 (Nov 13, 2017), ", CUDA 9.0
"Download cuDNN v6.0 (April 27, 2017), ", CUDA 8.0
"Download cuDNN v6.0 (April 27, 2017), ", CUDA 7.5
"Download cuDNN v5.1 (Jan 20, 2017), ", CUDA 8.0
"Download cuDNN v5.1 (Jan 20, 2017), ", CUDA 7.5
"Download cuDNN v5 (May 27, 2016), ", CUDA 8.0
"Download cuDNN v5 (May 12, 2016), ", CUDA 7.5
"Download cuDNN v4 (Feb 10, 2016), ", CUDA 7.0 and later.
"Download cuDNN v3 (September 8, 2015), ", CUDA 7.0 and later.
"Download cuDNN v2 (March 17,2015), ", CUDA 6.5 and later.
Download cuDNN v1 (cuDNN 6.5 R1)
